Spec, No. of Inputs, No. of Outputs, IsAllUnate
stmt124_966_965.v, 63, 64, All Unates
neclaftp4002_all_bit_differing_from_cycle.v, 2188, 32, All Unates
query42_query45_1344n.v, 168, 4852, All not Unates
ethernet-fixpoint-1.v, 462, 244, All Unates
rankfunc34_signed_64.v, 256, 581, All not Unates
ltl2dba_U1-4_comp4_REAL.sat.v, 311, 308, All not Unates
rankfunc52_signed_64.v, 384, 773, All not Unates
sortnetsort8.AE.stepl.005.v, 560, 2377, All not Unates
stmt17_82_86.v, 450, 421, All not Unates
small-dyn-partition-fixpoint-9.v, 80, 72, All Unates
small-seq-fixpoint-1.v, 404, 203, All Unates
pdtpmsns3_all_bit_differing_from_cycle.v, 944, 21, All not Unates
sdlx-fixpoint-3.v, 263, 189, All not Unates
stmt17_74_78.v, 392, 363, All not Unates
rankfunc49_signed_64.v, 384, 582, All not Unates
cycle_sched_12_2_1.sat.v, 210, 223, All not Unates
query51_query42_1344n.v, 74, 943, All not Unates
small-swap1-fixpoint-9.v, 600, 540, All not Unates
query51_query57_1344n.v, 70, 926, All not Unates
decomposition1024.v, 1024, 3002, All not Unates
cache-coherence-2-fixpoint-6.v, 966, 828, All Unates
small-equiv-fixpoint-4.v, 160, 416, All not Unates
query60_query42_1344n.v, 136, 3398, All not Unates
query71_query31_1344n.v, 108, 2760, All not Unates
query31_reachqu_1344n.v, 71, 855, All not Unates
ceiling128.v, 256, 536, All not Unates
rankfunc61_unsigned_64.v, 384, 773, All not Unates
stmt23_66_96.v, 508, 276, All not Unates
small-bug1-fixpoint-6.v, 20, 17, All not Unates
min1024.v, 2048, 3751, All not Unates
beemldelec4b1_c0to127.sat.v, 2432, 1343, All not Unates
cache-coherence-3-fixpoint-3.v, 800, 600, All Unates
query44_query42_1344n.v, 180, 9862, All not Unates
bobsmhdlc1_all_bit_differing_from_cycle.v, 593, 48, All not Unates
Q_2-3_v-80-100_r-14.1.v, 80, 100, All not Unates
stmt17_63_82.v, 421, 276, All not Unates
decomposition128.v, 128, 370, All not Unates
stmt28_68_81.v, 421, 305, All not Unates
query33_query42_1344n.v, 74, 1099, All not Unates
query06_query42_1344n.v, 118, 3262, All not Unates
neclaftp3001_all_bit_differing_from_cycle.v, 5652, 32, All not Unates
small-pipeline-fixpoint-1.v, 417, 160, All not Unates
ctrl.e_1.a_3.E_128.A_48.c_.w_3.s_60.asp.v, 128, 48, All not Unates
mult_bool_matrix_12_13_11.sat.v, 280, 133, All not Unates
query49_query42_1344n.v, 180, 9754, All not Unates
small-synabs-fixpoint-3.v, 96, 72, All Unates
ctrl.e_1.a_3.E_130.A_48.c_.w_7.s_11.asp.v, 130, 48, All not Unates
stmt41_336_385.v, 265, 246, All not Unates
sortnetsort9.AE.stepl.012.v, 9223, 0, All Unates
small-swap2-fixpoint-10.v, 660, 600, All Unates
